Repo,StartPeriod,MidPeriod,EndPeriod,PrePeriodAvgChurn,PostPeriodAvgChurn,PrePeriodAvgCommits,PostPeriodAvgCommits,PrePeriodCommitters,PostPeriodCommitters
https://github.com/Leaflet/Leaflet,2011-10-14,2011-11-22,2012-01-06,2.8950179053841807,124.46623042543968,1.3699638302264425,7.287458791247766,5.0,6.0
https://github.com/Leaflet/Leaflet,2017-06-27,2017-10-02,2017-10-20,252.64563480116533,1.625230510174231,1.7704958110251154,2.353782118183369,7.0,8.0
https://github.com/Leaflet/Leaflet,2018-05-04,2018-11-07,2018-11-28,262.2967853406755,1.870033348262078,0.651934558654628,0.3356470112265268,7.0,8.0
https://github.com/runelite/runelite,2017-07-17,2017-09-15,2017-10-31,116.80205192625743,-59.953380569342464,9.492686901371613,9.110455121302499,7.0,8.0
https://github.com/runelite/runelite,2017-12-02,2017-12-16,2018-01-11,61.84979823806508,134.2925313745702,12.7733278969917,19.657312563524044,10.0,11.0
https://github.com/runelite/runelite,2019-12-02,2019-12-17,2020-01-05,183.52134556632686,59.64811117964139,9.859427605452906,7.883010288058333,18.0,19.0
https://github.com/runelite/runelite,2021-06-12,2021-07-18,2021-08-08,194.06808954364345,67.92397321508834,12.882464188121943,8.849415775770344,9.0,10.0
https://github.com/cosmos/cosmos-sdk,2017-02-04,2017-03-14,2017-05-09,48.421013043677966,17.442091841004313,6.978165796173612,5.320105802066823,6.0,7.0
https://github.com/cosmos/cosmos-sdk,2017-03-14,2017-05-09,2017-06-23,17.442091841004313,26.15001976859765,5.320105802066823,8.90260911917275,7.0,8.0
https://github.com/cosmos/cosmos-sdk,2019-08-26,2019-09-30,2020-01-16,263.59652977438515,97.8718741921733,14.216057161321617,15.161034634472864,8.0,9.0
https://github.com/leereilly/swot,2013-12-06,2014-04-01,2014-04-23,0.22433277626290793,0.2772416382285415,0.12942275553629304,0.7855179749808675,5.0,6.0
https://github.com/github/gemoji,2012-08-24,2012-09-29,2012-11-29,-28.16281167324038,1.714170075828218,0.5089664760224165,45.384693436213766,5.0,6.0
https://github.com/github/gemoji,2012-09-29,2012-11-29,2013-01-03,1.714170075828218,0.6765294586883432,45.384693436213766,0.8456618233604292,6.0,7.0
