url,name,UserCount,PullRequests,description,created_at
https://api.github.com/repos/jenkinsci/walldisplay-plugin,walldisplay-plugin,304,28,"Jenkins Wall Display","2011-02-23 07:37:07"
https://api.github.com/repos/YaleSTC/reservations,reservations,10,34,"Manages reservations for equipment (allows student reservations)","2009-10-21 12:08:00"
https://api.github.com/repos/SpringSource/spring-data-rest,spring-data-rest,74,23,"Spring Data REST Exporter","2012-03-08 12:55:39"
https://api.github.com/repos/ceylon/ceylon-lang.org,ceylon-lang.org,16,61,"Awestruct built static website for ceylon-lang.org","2011-07-20 00:03:18"
https://api.github.com/repos/blackberry-webworks/Ripple-UI,Ripple-UI,14,58,"Ripple UI is a cross-platform, mobile web application emulation environment.","2011-07-27 06:36:45"
https://api.github.com/repos/ceylon/ceylon-spec,ceylon-spec,16,54,"Ceylon Language Specification and type analyzer","2011-01-24 04:41:30"
https://api.github.com/repos/ceylon/ceylon-ide-eclipse,ceylon-ide-eclipse,15,34,"Eclipse Plugin for Ceylon","2011-08-04 10:16:23"
https://api.github.com/repos/mono/monotouch-bindings,monotouch-bindings,71,99,"A collection of third party bindings for MonoTouch","2010-10-01 07:11:33"
https://api.github.com/repos/Kozea/WeasyPrint,WeasyPrint,15,23,"WeasyPrint converts web documents (HTML with CSS, SVG, …) to PDF.","2011-08-09 05:14:24"
https://api.github.com/repos/Raizlabs/WebServiceManager,WebServiceManager,18,45,,"2011-10-24 18:03:30"
https://api.github.com/repos/aptana/studio3,studio3,18,77,"This repository contains the code for core components of Aptana Studio 3. This is the Studio 3 equivalent of the studio2 repo (which is for the Studio 2 codebase).","2009-10-15 14:46:08"
https://api.github.com/repos/stackmob/stackmob-java-client-sdk,stackmob-java-client-sdk,22,23,"The Official Java Client SDK for the StackMob Platform","2011-10-04 17:13:04"
https://api.github.com/repos/meltmedia/cadmium,cadmium,40,68,"A project for dynamically distributing static content","2012-04-25 13:52:47"
https://api.github.com/repos/pods-framework/pods,pods,12,85,"Pods CMS Framework is a Content Development Framework for WordPress","2011-04-04 15:45:14"
https://api.github.com/repos/twitter/twitter-text-js,twitter-text-js,226,76,"A JavaScript implementation of Twitter's text processing library","2010-12-02 15:11:20"
https://api.github.com/repos/plexinc-plugins/SiteConfigurations.bundle,SiteConfigurations.bundle,15,31,NULL,"2010-07-29 00:31:25"
https://api.github.com/repos/hiidef/oauth2app,oauth2app,13,35,"Django OAuth 2.0 Server App. Please fork and improve!","2011-06-21 12:37:44"
https://api.github.com/repos/voldemort/voldemort,voldemort,18,80,"An open source clone of Amazon's Dynamo.","2009-05-30 18:27:10"
https://api.github.com/repos/infochimps-labs/ironfan,ironfan,16,93,"Chef orchestration layer -- your system diagram come to life. Provision EC2, OpenStack or Vagrant without changes to cookbooks or configuration","2010-05-13 22:14:05"
https://api.github.com/repos/perl6/nqp,nqp,34,64,"Not Quite Perl","2011-02-08 06:51:24"
