Repo,StartPeriod,MidPeriod,EndPeriod,PrePeriodAvgChurn,PostPeriodAvgChurn,PrePeriodAvgCommits,PostPeriodAvgCommits,PrePeriodCommitters,PostPeriodCommitters,Day1Churn,Day2Churn,Day3Churn,Day4Churn,Day5Churn,Day6Churn,Day7Churn,Day8Churn,Day9Churn,Day10Churn,Day11Churn,Day12Churn,Day13Churn,Day14Churn,Day1Commits,Day2Commits,Day3Commits,Day4Commits,Day5Commits,Day6Commits,Day7Commits,Day8Commits,Day9Commits,Day10Commits,Day11Commits,Day12Commits,Day13Commits,Day14Commits,Day1Churn_Prior,Day2Churn_Prior,Day3Churn_Prior,Day4Churn_Prior,Day5Churn_Prior,Day6Churn_Prior,Day7Churn_Prior,Day8Churn_Prior,Day9Churn_Prior,Day10Churn_Prior,Day11Churn_Prior,Day12Churn_Prior,Day13Churn_Prior,Day14Churn_Prior,Day1Commits_Prior,Day2Commits_Prior,Day3Commits_Prior,Day4Commits_Prior,Day5Commits_Prior,Day6Commits_Prior,Day7Commits_Prior,Day8Commits_Prior,Day9Commits_Prior,Day10Commits_Prior,Day11Commits_Prior,Day12Commits_Prior,Day13Commits_Prior,Day14Commits_Prior
https://github.com/dbcli/mycli,2015-08-15,2015-09-14,2015-10-07,1.0,11.52389921547134,1.0,3.148606343024957,6.0,7.0,4.854389963624339,0.0,17.095895089285715,25.327251984126985,15.19635119047619,0.8442417328042328,48.12177876984127,0.0,0.0,11.819384259259259,11.819384259259259,18.995438988095238,0.0,0.0,6.566324588477366,0.0,6.566324588477366,16.415811471193415,3.283162294238683,4.924743441358025,1.6415811471193416,0.0,0.0,11.491068029835391,1.6415811471193416,6.566324588477366,0.0,0.0,0.0,0.0,0.6331812996031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110604332010582,0.0,0.0,0.0,0.0,0.0,3.283162294238683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6415811471193416,0.0,0.0,0.0
https://github.com/dbcli/mycli,2015-10-09,2015-11-15,2015-12-09,1.0,0.25880092539413263,1.0,0.24099635483745777,8.0,9.0,1.082284005535785,1.082284005535785,0.0,0.0,0.0,0.0,0.0,0.695754003558719,0.0,0.0,1.2368960063266115,-0.025768666798471073,0.051537333596942146,0.051537333596942146,1.1805970712560383,0.3935323570853461,0.0,0.0,0.0,0.0,0.0,0.3935323570853461,0.0,0.0,0.3935323570853461,0.3935323570853461,0.3935323570853461,0.3935323570853461,0.0,0.25768666798471074,1.6749633419006196,0.0,0.0,0.0,0.0,1.6749633419006196,0.025768666798471073,0.0,0.41229866877553717,0.20614933438776858,1.2884333399235537,-0.025768666798471073,0.7870647141706922,1.1805970712560383,0.7870647141706922,0.0,0.0,0.0,0.0,0.3935323570853461,1.9676617854267306,0.3935323570853461,1.1805970712560383,0.7870647141706922,3.541791213768115,1.1805970712560383
https://github.com/dbcli/mycli,2016-01-07,2016-02-15,2016-03-03,1.0,1.2485116534111216,1.0,0.6375585756114486,9.0,10.0,6.6881329516539445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.608012086513995,0.0,-0.608012086513995,0.0,0.0,0.0,1.0763457207207208,0.0,0.0,0.0,0.0,1.0763457207207208,0.0,0.0,1.0763457207207208,0.0,1.0763457207207208,0.0,0.0,0.0,13.274930555555557,0.0,0.0,0.0,14.896296119592876,0.5066767387616624,0.5066767387616624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.839802927927929,0.0,0.0,0.0,6.458074324324325,3.2290371621621623,1.0763457207207208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/dbcli/mycli,2016-06-09,2016-09-17,2016-10-14,1.0,0.4899257792904245,1.0,1.3172879390671288,8.0,9.0,6.641162250116226,5.811016968851698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87237777777778,15.87237777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/dbcli/mycli,2017-04-15,2017-05-10,2017-06-02,1.0,0.20491203022023588,1.0,0.33836919056994885,7.0,8.0,-3.1368969145112935,-0.9090599221644974,-0.256073217511126,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1937413194444444,0.9947844328703703,0.5968706597222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39791377314814813,0.0,0.0,0.0,-0.0256073217511126,-0.23046589576001342,-0.0,-0.0,-3.8154909409157773,47.360741578682756,-0.384109826266689,-0.0,-0.0,0.384109826266689,7.438926968698211,-0.0896256261288941,0.93466724391561,-0.0,0.19895688657407407,0.19895688657407407,0.0,0.0,2.387482638888889,4.178094618055556,2.1885257523148147,0.0,0.0,2.1885257523148147,3.382267071759259,0.9947844328703703,2.785396412037037,0.0
https://github.com/dbcli/mycli,2017-06-02,2017-07-24,2017-08-13,1.0,-6.287846095071492,1.0,1.1286628935387824,8.0,9.0,-2.18962775997151,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3981141381766382,-0.3981141381766382,-2.9858560363247864,-7.365111556267807,-18.711364494301996,-0.0,-14.929280181623932,-26.47459018874644,0.5565036340103545,0.0,0.0,0.0,0.0,0.0,0.5565036340103545,0.5565036340103545,2.226014536041418,1.6695109020310634,6.678043608124254,0.0,2.226014536041418,3.8955254380724815,0.7962282763532764,-0.0,-0.0,-0.0,1.3933994836182337,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.339021804062127,0.0,0.0,0.0,0.5565036340103545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/dbcli/mycli,2018-08-20,2018-09-11,2018-10-25,1.0,3.0571721460998416,1.0,1.694060917437541,7.0,8.0,0.3656281735364397,0.0,0.5484422603046596,0.5484422603046596,0.0,0.0,0.0,0.0,0.0,0.0,15.722011462066908,0.0,0.0,0.0,6.045052469135802,3.022526234567901,4.533789351851852,3.022526234567901,0.0,0.0,0.0,1.5112631172839506,0.0,0.0,1.5112631172839506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3656281735364397,0.3656281735364397,1.6453267809139787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5112631172839506,1.5112631172839506,4.533789351851852,0.0,0.0,0.0,0.0,0.0
https://github.com/dbcli/mycli,2019-08-21,2019-09-30,2019-10-28,,inf,1.0,31.96638577683516,5.0,6.0,inf,,inf,,,,,,,inf,inf,,inf,inf,159.1988425925931,0.0,198.99855324074142,39.79971064814828,39.79971064814828,39.79971064814828,0.0,0.0,0.0,79.59942129629655,39.79971064814828,0.0,39.79971064814828,79.59942129629655,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/dbcli/mycli,2020-02-03,2020-03-19,2020-04-15,1.0,-0.8352692950463417,1.0,0.293260692931631,6.0,7.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.016597222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-47.33846726190477,-0.0,-0.0,107.3005257936508,-1.5779489087301588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016597222222223,8.033194444444446,0.0,0.0,4.016597222222223,8.033194444444446
https://github.com/BVLC/caffe,2014-04-03,2014-04-25,2014-05-10,1.0,0.26151614373479143,1.0,0.5465631824022897,13.0,14.0,0.7940100484931328,0.43192077556466835,0.0,0.01293175974744516,0.0,-0.020690815595912255,0.0,1.5931928008852436,0.0,0.0,0.0,0.023277167545401288,0.0,0.0,2.207451388888889,1.7344260912698413,0.0,0.4730252976190476,0.0,0.6307003968253968,0.0,1.5767509920634921,0.0,0.0,0.0,0.6307003968253968,0.0,0.0,0.023277167545401288,-0.02844987144437935,0.0,0.0568997428887587,6.414152834732799,1.8699324594805702,0.0,-0.043967983141313546,0.0,-0.023277167545401288,0.043967983141313546,1.6216426723296231,0.031036223393868384,1.4897387229056824,0.7883754960317461,0.4730252976190476,0.0,0.6307003968253968,1.8921011904761904,0.7883754960317461,0.0,0.9460505952380952,0.0,0.6307003968253968,0.7883754960317461,2.0497762896825398,0.1576750992063492,0.3153501984126984
