Repo,StartPeriod,MidPeriod,EndPeriod,PrePeriodAvgChurn,PostPeriodAvgChurn,PrePeriodAvgCommits,PostPeriodAvgCommits,PrePeriodCommitters,PostPeriodCommitters,Day1Churn,Day2Churn,Day3Churn,Day4Churn,Day5Churn,Day6Churn,Day7Churn,Day8Churn,Day9Churn,Day10Churn,Day11Churn,Day12Churn,Day13Churn,Day14Churn,Day1Commits,Day2Commits,Day3Commits,Day4Commits,Day5Commits,Day6Commits,Day7Commits,Day8Commits,Day9Commits,Day10Commits,Day11Commits,Day12Commits,Day13Commits,Day14Commits,Day1Churn_Prior,Day2Churn_Prior,Day3Churn_Prior,Day4Churn_Prior,Day5Churn_Prior,Day6Churn_Prior,Day7Churn_Prior,Day8Churn_Prior,Day9Churn_Prior,Day10Churn_Prior,Day11Churn_Prior,Day12Churn_Prior,Day13Churn_Prior,Day14Churn_Prior,Day1Commits_Prior,Day2Commits_Prior,Day3Commits_Prior,Day4Commits_Prior,Day5Commits_Prior,Day6Commits_Prior,Day7Commits_Prior,Day8Commits_Prior,Day9Commits_Prior,Day10Commits_Prior,Day11Commits_Prior,Day12Commits_Prior,Day13Commits_Prior,Day14Commits_Prior
https://github.com/BVLC/caffe,2016-10-15,2016-11-11,2016-12-30,4.9064095783879385,9.17327942616041,0.37453508231968996,0.6930922233098976,14.0,15.0,0.0,0.0,0.0,5.0,75.0,74.0,147.0,12.0,0.0,0.0,19.0,19.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/BVLC/caffe,2016-11-11,2016-12-30,2017-01-15,9.17327942616041,93.74712120154712,0.67270715791843,1.142483535293059,15.0,16.0,15.0,0.0,1097.0,0.0,0.0,50.0,0.0,139.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/BVLC/caffe,2017-10-18,2017-12-20,2018-02-13,0.4116114595972496,17.444747107031315,0.237468149767644,0.39770407912403,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/obsproject/obs-studio,2014-01-25,2014-02-15,2014-05-03,-5079.847421676387,421.9084893110839,6.159285979069834,3.7020911161840795,8.0,9.0,8.0,449.0,193.0,431.0,0.0,304.0,130.0,62.0,824.0,0.0,0.0,873.0,49.0,179.0,2.0,4.0,3.0,4.0,0.0,4.0,4.0,1.0,7.0,0.0,0.0,10.0,9.0,6.0,478.0,-3697.0,0.0,0.0,17979.0,432.0,0.0,633.0,64.0,51.0,-289.0,345.0,0.0,320.0,4.0,14.0,0.0,0.0,9.0,2.0,1.0,7.0,4.0,6.0,2.0,6.0,1.0,6.0
https://github.com/obsproject/obs-studio,2014-08-19,2014-09-27,2014-10-11,329.00471896080495,256.25783226743806,4.214007311167806,2.531928659948686,13.0,14.0,150.0,0.0,0.0,0.0,115.0,0.0,61.0,1263.0,5.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,3.0,0.0,5.0,0.0,2.0,0.0,647.0,0.0,328.0,1362.0,13.0,0.0,0.0,192.0,0.0,106.0,45.0,0.0,37.0,56.0,11.0,0.0,15.0,9.0,4.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,3.0,3.0
https://github.com/obsproject/obs-studio,2014-10-19,2014-11-14,2014-12-27,285.30351211428007,361.3782684086734,2.56237738762155,2.8276134393187635,13.0,14.0,0.0,0.0,0.0,167.0,43.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.0,64.0,2.0,2.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1917.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
https://github.com/obsproject/obs-studio,2015-04-03,2015-05-16,2015-06-04,461.469814295631,44.10164824672597,3.8589486259168178,1.7808266512929727,15.0,16.0,-2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,5.0,6.0,149.0,0.0,636.0,31.0,2916.0,1.0,26.0,14486.0,230.0,3.0,0.0,0.0,1.0,4.0,15.0,0.0,17.0,1.0,6.0,1.0,3.0,21.0,6.0,1.0,1.0,0.0
https://github.com/obsproject/obs-studio,2016-02-25,2016-04-13,2016-05-20,122.6148595431872,459.4067429056577,2.100288789708585,3.2354455137383966,11.0,12.0,-9.0,90.0,17.0,0.0,0.0,40.0,13834.0,215.0,23.0,16.0,2060.0,74.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,1.0,15.0,11.0,6.0,3.0,10.0,11.0,1.0,4.0,0.0,621.0,0.0,0.0,34.0,75.0,0.0,0.0,362.0,676.0,8.0,162.0,33.0,0.0,0.0,9.0,0.0,1.0,3.0,5.0,0.0,0.0,3.0,2.0,1.0,13.0,3.0,1.0
https://github.com/obsproject/obs-studio,2016-04-13,2016-05-20,2016-06-16,458.53158141423665,76.011266714058,3.2089254685438195,1.7642847206357755,12.0,13.0,66.0,0.0,0.0,27.0,0.0,31.0,536.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,7.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,205.0,87.0,480.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,8.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0
https://github.com/obsproject/obs-studio,2016-05-20,2016-06-16,2016-07-07,75.79073112397853,188.7755810541735,1.7275287889558635,2.9511303035121945,13.0,14.0,6.0,0.0,0.0,-24.0,0.0,298.0,0.0,40.0,0.0,0.0,28.0,124.0,591.0,120.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,3.0,0.0,0.0,4.0,10.0,5.0,2.0,0.0,1.0,70.0,8.0,1108.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,175.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
